date,user,total_logons,total_logoffs,after_hours_logons,weekend_logons,usb_connects,files_accessed,files_copied_external,lexical_risk_score,flagged_terms,ae_score,lstm_score,if_score,risk_score,risk_level,shap_attributions
2026-08-14,USER_001,3,1,2,0,0.0,9,0,0.0,0,0.2382,0.0317,0.9427,27.98,Low,"{""total_logons"": 10.66, ""total_logoffs"": 0.22, ""after_hours_logons"": 12.32, ""weekend_logons"": 2.68, ""usb_connects"": 0.25, ""files_accessed"": 0.4, ""files_copied_external"": 0.66, ""lstm_temporal"": 0.79, ""nlp_lexical"": 0.0}"
2026-08-03,USER_002,1,1,0,0,0.0,11,0,0.0,0,0.0003,0.0,0.0302,0.61,Low,"{""total_logons"": 0.04, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.05, ""weekend_logons"": 0.1, ""usb_connects"": 0.24, ""files_accessed"": 0.17, ""files_copied_external"": 0.02, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-04,USER_002,1,1,0,0,0.0,16,0,0.0,0,1e-04,0.0,0.0081,0.17,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.06, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-05,USER_002,1,1,0,0,1.0,13,0,0.0,0,0.0004,0.0,0.2002,4.02,Low,"{""total_logons"": 0.08, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.2, ""usb_connects"": 2.67, ""files_accessed"": 0.94, ""files_copied_external"": 0.04, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-06,USER_002,1,1,0,0,0.0,16,0,0.0,0,1e-04,0.2833,0.0081,7.25,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.06, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 7.08, ""nlp_lexical"": 0.0}"
2026-08-07,USER_002,1,1,0,0,0.0,18,0,0.0,0,0.0004,0.1837,0.0472,5.55,Low,"{""total_logons"": 0.08, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.08, ""weekend_logons"": 0.22, ""usb_connects"": 0.54, ""files_accessed"": 0.0, ""files_copied_external"": 0.03, ""lstm_temporal"": 4.59, ""nlp_lexical"": 0.0}"
2026-08-10,USER_002,1,1,0,0,0.0,12,0,0.0,0,0.0002,0.1502,0.0,3.76,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.0, ""usb_connects"": 0.0, ""files_accessed"": 0.0, ""files_copied_external"": 0.0, ""lstm_temporal"": 3.75, ""nlp_lexical"": 0.0}"
2026-08-11,USER_002,1,1,0,0,0.0,10,0,0.0,0,0.0005,0.127,0.0414,4.02,Low,"{""total_logons"": 0.06, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.07, ""weekend_logons"": 0.16, ""usb_connects"": 0.39, ""files_accessed"": 0.13, ""files_copied_external"": 0.03, ""lstm_temporal"": 3.18, ""nlp_lexical"": 0.0}"
2026-08-12,USER_002,1,1,0,0,3.0,14,0,0.0,0,0.006,1.0,0.6281,37.77,Medium,"{""total_logons"": 0.09, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.1, ""weekend_logons"": 0.27, ""usb_connects"": 11.72, ""files_accessed"": 0.5, ""files_copied_external"": 0.1, ""lstm_temporal"": 25.0, ""nlp_lexical"": 0.0}"
2026-08-13,USER_002,1,1,0,0,3.0,20,0,0.0,0,0.0044,0.1464,0.6546,16.91,Low,"{""total_logons"": 0.09, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.29, ""usb_connects"": 11.85, ""files_accessed"": 0.82, ""files_copied_external"": 0.1, ""lstm_temporal"": 3.66, ""nlp_lexical"": 0.0}"
2026-08-14,USER_002,1,1,0,0,3.0,16,0,0.0,0,0.0053,0.0,0.6033,12.25,Low,"{""total_logons"": 0.09, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.1, ""weekend_logons"": 0.27, ""usb_connects"": 11.03, ""files_accessed"": 0.67, ""files_copied_external"": 0.1, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-03,USER_003,1,1,0,0,0.0,15,0,0.0,0,0.0,0.0,0.0073,0.15,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.05, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-04,USER_003,1,1,0,0,0.0,16,0,0.0,0,1e-04,0.0,0.0081,0.17,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.06, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-05,USER_003,1,1,0,0,0.0,16,0,0.0,0,1e-04,0.0,0.0081,0.17,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.06, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-06,USER_003,1,1,0,0,1.0,9,0,0.0,0,0.0011,1.0,0.2694,30.43,Low,"{""total_logons"": 0.12, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.14, ""weekend_logons"": 0.32, ""usb_connects"": 4.5, ""files_accessed"": 0.3, ""files_copied_external"": 0.06, ""lstm_temporal"": 25.0, ""nlp_lexical"": 0.0}"
2026-08-07,USER_003,1,1,0,0,0.0,20,0,0.0,0,0.0009,0.126,0.0886,4.95,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.01, ""after_hours_logons"": 0.1, ""weekend_logons"": 0.25, ""usb_connects"": 0.6, ""files_accessed"": 0.71, ""files_copied_external"": 0.04, ""lstm_temporal"": 3.15, ""nlp_lexical"": 0.0}"
2026-08-10,USER_003,1,1,0,0,0.0,8,0,0.0,0,0.0008,0.0349,0.0454,1.81,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.2, ""usb_connects"": 0.44, ""files_accessed"": 0.09, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.87, ""nlp_lexical"": 0.0}"
2026-08-11,USER_003,1,1,0,0,0.0,9,0,0.0,0,0.0007,0.0,0.0431,0.88,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.08, ""weekend_logons"": 0.18, ""usb_connects"": 0.4, ""files_accessed"": 0.12, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-12,USER_003,1,1,0,0,0.0,18,0,0.0,0,0.0004,0.0961,0.0472,3.36,Low,"{""total_logons"": 0.08, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.08, ""weekend_logons"": 0.22, ""usb_connects"": 0.54, ""files_accessed"": 0.0, ""files_copied_external"": 0.03, ""lstm_temporal"": 2.4, ""nlp_lexical"": 0.0}"
2026-08-13,USER_003,1,1,0,0,1.0,16,0,0.7,2,1e-04,0.9228,0.2985,43.05,Medium,"{""total_logons"": 0.12, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.12, ""weekend_logons"": 0.3, ""usb_connects"": 5.05, ""files_accessed"": 0.33, ""files_copied_external"": 0.05, ""lstm_temporal"": 23.07, ""nlp_lexical"": 14.0}"
2026-08-14,USER_003,1,1,0,0,0.0,5,0,0.0,0,0.0012,0.1558,0.2061,8.06,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.12, ""weekend_logons"": 0.25, ""usb_connects"": 0.62, ""files_accessed"": 3.03, ""files_copied_external"": 0.04, ""lstm_temporal"": 3.9, ""nlp_lexical"": 0.0}"
2026-08-03,USER_004,1,1,0,0,1.0,8,0,0.0,0,0.0014,0.0,0.3076,6.2,Low,"{""total_logons"": 0.13, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.15, ""weekend_logons"": 0.35, ""usb_connects"": 5.37, ""files_accessed"": 0.15, ""files_copied_external"": 0.06, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-04,USER_004,1,1,0,0,0.0,12,0,0.0,0,0.0002,0.0,0.0,0.01,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.0, ""usb_connects"": 0.0, ""files_accessed"": 0.0, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-05,USER_004,1,1,0,0,0.0,18,0,0.0,0,0.0004,0.0,0.0472,0.96,Low,"{""total_logons"": 0.08, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.08, ""weekend_logons"": 0.22, ""usb_connects"": 0.54, ""files_accessed"": 0.0, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-06,USER_004,1,1,0,0,0.0,8,0,0.0,0,0.0008,0.038,0.0454,1.89,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.2, ""usb_connects"": 0.44, ""files_accessed"": 0.09, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.95, ""nlp_lexical"": 0.0}"
2026-08-07,USER_004,1,1,0,0,0.0,13,0,0.0,0,1e-04,0.022,0.0039,0.63,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.01, ""usb_connects"": 0.02, ""files_accessed"": 0.04, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.55, ""nlp_lexical"": 0.0}"
2026-08-10,USER_004,1,1,0,0,0.0,15,0,0.0,0,0.0,0.0212,0.0073,0.68,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.05, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.53, ""nlp_lexical"": 0.0}"
2026-08-11,USER_004,1,1,0,0,0.0,7,0,0.0,0,0.0009,0.0374,0.034,1.65,Low,"{""total_logons"": 0.05, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.07, ""weekend_logons"": 0.13, ""usb_connects"": 0.3, ""files_accessed"": 0.15, ""files_copied_external"": 0.02, ""lstm_temporal"": 0.94, ""nlp_lexical"": 0.0}"
2026-08-12,USER_004,2,1,1,0,4.0,69,51,1.0,3,0.5419,1.0,0.908,82.13,High,"{""total_logons"": 2.3, ""total_logoffs"": 4.85, ""after_hours_logons"": 2.66, ""weekend_logons"": 0.48, ""usb_connects"": 8.77, ""files_accessed"": 11.15, ""files_copied_external"": 6.91, ""lstm_temporal"": 25.0, ""nlp_lexical"": 20.0}"
2026-08-13,USER_004,2,1,1,0,4.0,87,69,0.35,1,1.0,0.0098,1.0,62.24,Medium,"{""total_logons"": 3.29, ""total_logoffs"": 8.09, ""after_hours_logons"": 2.76, ""weekend_logons"": 0.52, ""usb_connects"": 13.78, ""files_accessed"": 15.89, ""files_copied_external"": 10.67, ""lstm_temporal"": 0.24, ""nlp_lexical"": 7.0}"
2026-08-14,USER_004,2,1,1,0,4.0,68,60,0.35,1,0.6745,0.0,0.8881,48.37,Medium,"{""total_logons"": 2.61, ""total_logoffs"": 5.73, ""after_hours_logons"": 2.91, ""weekend_logons"": 0.75, ""usb_connects"": 9.87, ""files_accessed"": 12.5, ""files_copied_external"": 6.99, ""lstm_temporal"": 0.0, ""nlp_lexical"": 7.0}"
2026-08-01,USER_005,1,1,0,1,0.0,13,0,0.0,0,0.0326,0.0,0.5838,12.82,Low,"{""total_logons"": 0.11, ""total_logoffs"": 0.09, ""after_hours_logons"": 0.15, ""weekend_logons"": 11.07, ""usb_connects"": 0.59, ""files_accessed"": 0.78, ""files_copied_external"": 0.04, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-03,USER_005,1,1,0,0,1.0,20,0,0.0,0,0.0002,0.0,0.3054,6.12,Low,"{""total_logons"": 0.14, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.14, ""weekend_logons"": 0.32, ""usb_connects"": 4.69, ""files_accessed"": 0.77, ""files_copied_external"": 0.06, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-04,USER_005,1,1,0,0,1.0,20,0,0.0,0,0.0002,0.0,0.3054,6.12,Low,"{""total_logons"": 0.14, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.14, ""weekend_logons"": 0.32, ""usb_connects"": 4.69, ""files_accessed"": 0.77, ""files_copied_external"": 0.06, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-05,USER_005,1,1,0,0,0.0,11,0,0.0,0,0.0003,0.1041,0.0302,3.22,Low,"{""total_logons"": 0.04, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.05, ""weekend_logons"": 0.1, ""usb_connects"": 0.24, ""files_accessed"": 0.17, ""files_copied_external"": 0.02, ""lstm_temporal"": 2.6, ""nlp_lexical"": 0.0}"
2026-08-06,USER_005,1,1,0,0,0.0,12,0,0.0,0,0.0002,0.1655,0.0,4.14,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.0, ""usb_connects"": 0.0, ""files_accessed"": 0.0, ""files_copied_external"": 0.0, ""lstm_temporal"": 4.14, ""nlp_lexical"": 0.0}"
2026-08-07,USER_005,1,1,0,0,0.0,12,0,0.0,0,0.0002,0.2263,0.0,5.66,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.0, ""usb_connects"": 0.0, ""files_accessed"": 0.0, ""files_copied_external"": 0.0, ""lstm_temporal"": 5.66, ""nlp_lexical"": 0.0}"
2026-08-10,USER_005,1,1,0,0,0.0,14,0,0.0,0,0.0,0.1575,0.0143,4.22,Low,"{""total_logons"": 0.02, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.02, ""weekend_logons"": 0.04, ""usb_connects"": 0.1, ""files_accessed"": 0.11, ""files_copied_external"": 0.01, ""lstm_temporal"": 3.94, ""nlp_lexical"": 0.0}"
2026-08-11,USER_005,1,1,0,0,0.0,13,0,0.0,0,1e-04,0.2141,0.0039,5.43,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.01, ""usb_connects"": 0.02, ""files_accessed"": 0.04, ""files_copied_external"": 0.0, ""lstm_temporal"": 5.35, ""nlp_lexical"": 0.0}"
2026-08-12,USER_005,1,1,0,0,0.0,38,0,0.0,0,0.0096,1.0,0.7457,40.25,Medium,"{""total_logons"": 0.09, ""total_logoffs"": 0.05, ""after_hours_logons"": 0.17, ""weekend_logons"": 0.25, ""usb_connects"": 0.36, ""files_accessed"": 14.29, ""files_copied_external"": 0.05, ""lstm_temporal"": 25.0, ""nlp_lexical"": 0.0}"
2026-08-13,USER_005,1,1,0,0,0.0,33,0,0.0,0,0.0066,0.4205,0.6228,23.2,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.04, ""after_hours_logons"": 0.12, ""weekend_logons"": 0.26, ""usb_connects"": 0.38, ""files_accessed"": 11.74, ""files_copied_external"": 0.04, ""lstm_temporal"": 10.51, ""nlp_lexical"": 0.0}"
2026-08-14,USER_005,1,1,0,0,0.0,24,0,0.0,0,0.0023,0.0,0.4068,8.22,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.02, ""after_hours_logons"": 0.12, ""weekend_logons"": 0.26, ""usb_connects"": 0.48, ""files_accessed"": 7.19, ""files_copied_external"": 0.05, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-03,USER_006,1,1,0,0,0.0,12,0,0.0,0,0.0002,0.0,0.0,0.01,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.0, ""usb_connects"": 0.0, ""files_accessed"": 0.0, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-04,USER_006,1,1,0,0,0.0,13,0,0.0,0,1e-04,0.0,0.0039,0.08,Low,"{""total_logons"": 0.0, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.0, ""weekend_logons"": 0.01, ""usb_connects"": 0.02, ""files_accessed"": 0.04, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-05,USER_006,1,1,0,0,1.0,13,0,0.0,0,0.0004,0.0,0.2002,4.02,Low,"{""total_logons"": 0.08, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.2, ""usb_connects"": 2.67, ""files_accessed"": 0.94, ""files_copied_external"": 0.04, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-06,USER_006,1,1,0,0,0.0,8,0,0.0,0,0.0008,0.0156,0.0454,1.33,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.2, ""usb_connects"": 0.44, ""files_accessed"": 0.09, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.39, ""nlp_lexical"": 0.0}"
2026-08-07,USER_006,1,1,0,0,0.0,7,0,0.0,0,0.0009,0.142,0.034,4.26,Low,"{""total_logons"": 0.05, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.07, ""weekend_logons"": 0.13, ""usb_connects"": 0.3, ""files_accessed"": 0.15, ""files_copied_external"": 0.02, ""lstm_temporal"": 3.55, ""nlp_lexical"": 0.0}"
2026-08-10,USER_006,1,1,0,0,0.0,17,0,0.0,0,0.0003,0.4031,0.0264,10.62,Low,"{""total_logons"": 0.03, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.04, ""weekend_logons"": 0.09, ""usb_connects"": 0.22, ""files_accessed"": 0.14, ""files_copied_external"": 0.01, ""lstm_temporal"": 10.08, ""nlp_lexical"": 0.0}"
2026-08-11,USER_006,1,1,0,0,0.0,8,0,0.0,0,0.0008,0.0573,0.0454,2.37,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.2, ""usb_connects"": 0.44, ""files_accessed"": 0.09, ""files_copied_external"": 0.03, ""lstm_temporal"": 1.43, ""nlp_lexical"": 0.0}"
2026-08-12,USER_006,1,1,0,0,0.0,7,0,0.0,0,0.0009,0.161,0.034,4.74,Low,"{""total_logons"": 0.05, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.07, ""weekend_logons"": 0.13, ""usb_connects"": 0.3, ""files_accessed"": 0.15, ""files_copied_external"": 0.02, ""lstm_temporal"": 4.03, ""nlp_lexical"": 0.0}"
2026-08-13,USER_006,1,1,0,0,0.0,9,0,0.0,0,0.0007,0.0,0.0431,0.88,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.08, ""weekend_logons"": 0.18, ""usb_connects"": 0.4, ""files_accessed"": 0.12, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-14,USER_006,1,1,0,0,0.0,20,0,0.0,0,0.0009,1.0,0.0886,26.8,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.01, ""after_hours_logons"": 0.1, ""weekend_logons"": 0.25, ""usb_connects"": 0.6, ""files_accessed"": 0.71, ""files_copied_external"": 0.04, ""lstm_temporal"": 25.0, ""nlp_lexical"": 0.0}"
2026-08-03,USER_007,1,1,0,0,0.0,7,0,0.0,0,0.0009,0.0,0.034,0.71,Low,"{""total_logons"": 0.05, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.07, ""weekend_logons"": 0.13, ""usb_connects"": 0.3, ""files_accessed"": 0.15, ""files_copied_external"": 0.02, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-04,USER_007,1,1,0,0,0.0,20,0,0.0,0,0.0009,0.0,0.0886,1.8,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.01, ""after_hours_logons"": 0.1, ""weekend_logons"": 0.25, ""usb_connects"": 0.6, ""files_accessed"": 0.71, ""files_copied_external"": 0.04, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-05,USER_007,1,1,0,0,0.0,19,0,0.0,0,0.0006,0.0,0.1104,2.23,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.01, ""after_hours_logons"": 0.1, ""weekend_logons"": 0.25, ""usb_connects"": 0.62, ""files_accessed"": 1.12, ""files_copied_external"": 0.04, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-06,USER_007,1,1,0,0,0.0,6,0,0.0,0,0.0011,0.0608,0.1128,3.81,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.12, ""weekend_logons"": 0.25, ""usb_connects"": 0.63, ""files_accessed"": 1.16, ""files_copied_external"": 0.04, ""lstm_temporal"": 1.52, ""nlp_lexical"": 0.0}"
2026-08-07,USER_007,1,1,0,0,0.0,8,0,0.0,0,0.0008,0.0,0.0454,0.94,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.09, ""weekend_logons"": 0.2, ""usb_connects"": 0.44, ""files_accessed"": 0.09, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-10,USER_007,1,1,0,0,0.0,11,0,0.0,0,0.0003,0.1767,0.0302,5.03,Low,"{""total_logons"": 0.04, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.05, ""weekend_logons"": 0.1, ""usb_connects"": 0.24, ""files_accessed"": 0.17, ""files_copied_external"": 0.02, ""lstm_temporal"": 4.42, ""nlp_lexical"": 0.0}"
2026-08-11,USER_007,1,1,0,0,0.0,15,0,0.0,0,0.0,1.0,0.0073,25.15,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.05, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 25.0, ""nlp_lexical"": 0.0}"
2026-08-12,USER_007,1,1,0,0,0.0,9,0,0.0,0,0.0007,0.0393,0.0431,1.87,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.08, ""weekend_logons"": 0.18, ""usb_connects"": 0.4, ""files_accessed"": 0.12, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.98, ""nlp_lexical"": 0.0}"
2026-08-13,USER_007,1,1,0,0,0.0,5,0,0.0,0,0.0012,0.1643,0.2061,8.27,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.12, ""weekend_logons"": 0.25, ""usb_connects"": 0.62, ""files_accessed"": 3.03, ""files_copied_external"": 0.04, ""lstm_temporal"": 4.11, ""nlp_lexical"": 0.0}"
