date,user,total_logons,total_logoffs,after_hours_logons,weekend_logons,usb_connects,files_accessed,files_copied_external,lexical_risk_score,flagged_terms
2026-08-03,USER_010,1,1,0,0,0.0,18,0,0.0,0
2026-08-04,USER_010,1,1,0,0,0.0,13,0,0.0,0
2026-08-05,USER_010,1,1,0,0,1.0,14,0,0.0,0
2026-08-06,USER_010,1,1,0,0,0.0,19,0,0.0,0
2026-08-07,USER_010,1,1,0,0,1.0,20,0,0.0,0
2026-08-10,USER_010,1,1,0,0,0.0,9,0,0.0,0
2026-08-11,USER_010,1,1,0,0,0.0,7,0,0.0,0
2026-08-12,USER_010,1,1,0,0,0.0,17,0,0.0,0
2026-08-13,USER_010,1,1,0,0,0.0,13,0,0.0,0
2026-08-14,USER_010,1,1,0,0,0.0,15,0,0.0,0
2026-08-03,USER_011,1,1,0,0,0.0,12,0,0.0,0
2026-08-04,USER_011,1,1,0,0,1.0,13,0,0.0,0
2026-08-05,USER_011,1,1,0,0,0.0,7,0,0.0,0
2026-08-06,USER_011,1,1,0,0,0.0,7,0,0.0,0
2026-08-07,USER_011,1,1,0,0,1.0,19,0,0.0,0
2026-08-10,USER_011,1,1,0,0,0.0,9,0,0.0,0
2026-08-11,USER_011,1,1,0,0,0.0,8,0,0.0,0
2026-08-12,USER_011,1,1,0,0,0.0,5,0,0.0,0
2026-08-13,USER_011,1,1,0,0,0.0,7,0,0.0,0
2026-08-14,USER_011,1,1,0,0,0.0,5,0,0.0,0
2026-08-03,USER_012,1,1,0,0,0.0,6,0,0.0,0
2026-08-04,USER_012,1,1,0,0,0.0,5,0,0.0,0
2026-08-05,USER_012,1,1,0,0,0.0,14,0,0.0,0
2026-08-06,USER_012,1,1,0,0,0.0,11,0,0.0,0
2026-08-07,USER_012,1,1,0,0,0.0,17,0,0.0,0
2026-08-10,USER_012,1,1,0,0,0.0,7,0,0.0,0
2026-08-11,USER_012,1,1,0,0,0.0,10,0,0.0,0
2026-08-12,USER_012,1,1,0,0,1.0,20,0,0.0,0
2026-08-13,USER_012,1,1,0,0,0.0,16,0,0.0,0
2026-08-14,USER_012,1,1,0,0,0.0,16,0,0.0,0
2026-08-03,USER_013,1,1,0,0,0.0,5,0,0.0,0
2026-08-04,USER_013,1,1,0,0,0.0,9,0,0.0,0
2026-08-05,USER_013,1,1,0,0,0.0,6,0,0.0,0
2026-08-06,USER_013,1,1,0,0,1.0,10,0,0.0,0
2026-08-07,USER_013,1,1,0,0,0.0,6,0,0.0,0
2026-08-10,USER_013,1,1,0,0,0.0,8,0,0.0,0
2026-08-11,USER_013,1,1,0,0,0.0,7,0,0.0,0
2026-08-12,USER_013,1,1,0,0,0.0,17,0,0.0,0
2026-08-13,USER_013,1,1,0,0,1.0,11,0,0.0,0
2026-08-14,USER_013,1,1,0,0,0.0,7,0,0.0,0
2026-08-03,USER_014,1,1,0,0,0.0,8,0,0.0,0
2026-08-04,USER_014,1,1,0,0,0.0,9,0,0.0,0
2026-08-05,USER_014,1,1,0,0,0.0,19,0,0.0,0
2026-08-06,USER_014,1,1,0,0,0.0,7,0,0.0,0
2026-08-07,USER_014,1,1,0,0,0.0,15,0,0.0,0
2026-08-10,USER_014,1,1,0,0,0.0,16,0,0.0,0
2026-08-11,USER_014,1,1,0,0,0.0,17,0,0.0,0
2026-08-12,USER_014,1,1,0,0,0.0,18,0,0.0,0
2026-08-13,USER_014,1,1,0,0,1.0,12,0,0.0,0
2026-08-14,USER_014,1,1,0,0,0.0,5,0,0.0,0
2026-08-03,USER_015,1,1,0,0,0.0,5,0,0.0,0
2026-08-04,USER_015,1,1,0,0,0.0,18,0,0.0,0
2026-08-05,USER_015,1,1,0,0,0.0,20,0,0.0,0
2026-08-06,USER_015,1,1,0,0,0.0,6,0,0.0,0
2026-08-07,USER_015,1,1,0,0,0.0,12,0,0.0,0
2026-08-10,USER_015,1,1,0,0,0.0,9,0,0.0,0
2026-08-11,USER_015,1,1,0,0,0.0,20,0,0.0,0
2026-08-12,USER_015,1,1,0,0,0.0,15,0,0.0,0
2026-08-13,USER_015,1,1,0,0,0.0,7,0,0.0,0
2026-08-14,USER_015,1,1,0,0,0.0,13,0,0.0,0
2026-08-01,USER_016,1,1,0,1,0.0,11,0,0.0,0
2026-08-03,USER_016,1,1,0,0,0.0,10,0,0.0,0
2026-08-04,USER_016,1,1,0,0,1.0,9,0,0.0,0
2026-08-05,USER_016,1,1,0,0,1.0,6,0,0.0,0
2026-08-06,USER_016,1,1,0,0,0.0,9,0,0.0,0
2026-08-07,USER_016,1,1,0,0,0.0,6,0,0.0,0
2026-08-10,USER_016,1,1,0,0,0.0,13,0,0.0,0
2026-08-11,USER_016,1,1,0,0,0.0,16,0,0.0,0
2026-08-12,USER_016,1,1,0,0,0.0,5,0,0.0,0
2026-08-13,USER_016,1,1,0,0,0.0,16,0,0.0,0
2026-08-14,USER_016,1,1,0,0,0.0,16,0,0.0,0
2026-08-03,USER_017,1,1,0,0,0.0,11,0,0.0,0
2026-08-04,USER_017,1,1,0,0,0.0,7,0,0.0,0
2026-08-05,USER_017,1,1,0,0,0.0,12,0,0.0,0
2026-08-06,USER_017,1,1,0,0,0.0,13,0,0.0,0
2026-08-07,USER_017,1,1,0,0,0.0,20,0,0.0,0
2026-08-10,USER_017,1,1,0,0,0.0,20,0,0.0,0
2026-08-11,USER_017,1,1,0,0,0.0,7,0,0.0,0
2026-08-12,USER_017,1,1,0,0,0.0,14,0,0.0,0
2026-08-13,USER_017,1,1,0,0,0.0,7,0,0.0,0
2026-08-14,USER_017,1,1,0,0,0.0,10,0,0.0,0
2026-08-03,USER_018,1,1,0,0,0.0,15,0,0.0,0
2026-08-04,USER_018,1,1,0,0,0.0,12,0,0.0,0
2026-08-05,USER_018,1,1,0,0,0.0,9,0,0.0,0
2026-08-06,USER_018,1,1,0,0,0.0,15,0,0.0,0
2026-08-07,USER_018,1,1,0,0,0.0,12,0,0.0,0
2026-08-10,USER_018,1,1,0,0,1.0,12,0,0.0,0
2026-08-11,USER_018,1,1,0,0,0.0,16,0,0.0,0
2026-08-12,USER_018,1,1,0,0,0.0,10,0,0.0,0
2026-08-13,USER_018,1,1,0,0,0.0,15,0,0.0,0
2026-08-14,USER_018,1,1,0,0,0.0,16,0,0.0,0
2026-08-03,USER_019,1,1,0,0,0.0,12,0,0.0,0
2026-08-04,USER_019,1,1,0,0,0.0,17,0,0.0,0
2026-08-05,USER_019,1,1,0,0,0.0,7,0,0.0,0
2026-08-06,USER_019,1,1,0,0,0.0,20,0,0.0,0
2026-08-07,USER_019,1,1,0,0,0.0,7,0,0.0,0
2026-08-10,USER_019,1,1,0,0,0.0,8,0,0.0,0
2026-08-11,USER_019,1,1,0,0,0.0,7,0,0.0,0
2026-08-12,USER_019,1,1,0,0,0.0,14,0,0.0,0
2026-08-13,USER_019,1,1,0,0,0.0,8,0,0.0,0
2026-08-14,USER_019,1,1,0,0,0.0,20,0,0.0,0
2026-08-02,USER_020,1,1,0,1,1.0,10,0,0.0,0
2026-08-03,USER_020,1,1,0,0,1.0,12,0,0.0,0
2026-08-04,USER_020,1,1,0,0,0.0,14,0,0.0,0
2026-08-05,USER_020,1,1,0,0,0.0,8,0,0.0,0
2026-08-06,USER_020,1,1,0,0,1.0,8,0,0.0,0
2026-08-07,USER_020,1,1,0,0,0.0,20,0,0.0,0
2026-08-10,USER_020,1,1,0,0,0.0,9,0,0.0,0
2026-08-11,USER_020,1,1,0,0,0.0,18,0,0.0,0
2026-08-12,USER_020,1,1,0,0,0.0,17,0,0.0,0
2026-08-13,USER_020,1,1,0,0,0.0,11,0,0.0,0
2026-08-14,USER_020,1,1,0,0,0.0,20,0,0.0,0
